GROSS_SPA,NET_SPA,REQUESTER_CODE,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
36.28,20.15,DG1-DEPOT,RR,2017/2070(INI),ANRE,INI,MAIN,INTA,INTA
1.56,1.34,ECR,NT,2017/2070(INI),ANRE,INI,MAIN,INTA,INTA
99.37,80.55,INTA,AM,2017/2070(INI),ANRE,INI,MAIN,INTA,INTA
5.34,3.05,DEVE,AD,2017/2070(INI),ANRE,INI,AVI,DEVE,DEVE
2.58,2.24,DEVE,PA,2017/2070(INI),ANRE,INI,AVI,DEVE,DEVE
18.25,16.67,INTA,PR,2017/2070(INI),ANRE,INI,MAIN,INTA,INTA
21.78,9.14,DEVE,AM,2017/2070(INI),ANRE,INI,AVI,DEVE,DEVE
9.57,6.59,EMPL,PR,2018/2034(INI),INIT,INI,MAIN,EMPL,EMPL
57.21,32.0,EMPL,AM,2018/2034(INI),INIT,INI,MAIN,EMPL,EMPL
1.45,1.19,CULT,PA,2018/2034(INI),INIT,INI,AVI,CULT,CULT
19.21,11.9,CULT,AM,2018/2034(INI),INIT,INI,AVI,CULT,CULT
8.52,4.77,CULT,AD,2018/2034(INI),INIT,INI,AVI,CULT,CULT
0.91,0.75,ECR,NR,2018/2034(INI),INIT,INI,MAIN,EMPL,EMPL
31.21,15.35,DG1-DEPOT,RR,2018/2034(INI),INIT,INI,MAIN,EMPL,EMPL
6.38,2.24,DG1-DEPOT,RR,2009/0018(NLE),APPE,NLE,MAIN,TRAN,TRAN
5.17,2.79,TRAN,PR,2009/0018(NLE),APPE,NLE,MAIN,TRAN,TRAN
2.41,1.79,PECH,RE,2018/2614(DEA),DEAEX,DEA,MAIN,PECH,PECH
0.84,0.62,PECH,AM,2018/2614(DEA),DEAEX,DEA,MAIN,PECH,PECH
38.18,19.18,ENVI,AM,2018/2599(RSP),RESQ,RSP,MAIN,ENVI,ENVI
0.96,0.8,ENVI,QO,2018/2599(RSP),RESQ,RSP,MAIN,ENVI,ENVI
1.02,0.95,ENVI,QO,2018/2599(RSP),RESQ,RSP,MAIN,ENVI,ENVI
6.16,5.49,ENVI,RE,2018/2599(RSP),RESQ,RSP,MAIN,ENVI,ENVI
36.2,18.75,DG1-DEPOT,RR,2017/2257(INI),STINI,INI,MAIN,TRAN,TRAN
9.78,6.69,ENVI,AD,2017/2257(INI),STINI,INI,AVI,ENVI,ENVI
51.97,29.2,TRAN,AM,2017/2257(INI),STINI,INI,MAIN,TRAN,TRAN
9.28,8.33,TRAN,PR,2017/2257(INI),STINI,INI,MAIN,TRAN,TRAN
9.29,3.73,TRAN,PR,2017/2257(INI),STINI,INI,MAIN,TRAN,TRAN
25.53,16.08,ENVI,AM,2017/2257(INI),STINI,INI,AVI,ENVI,ENVI
1.41,1.15,ENVI,PA,2017/2257(INI),STINI,INI,AVI,ENVI,ENVI
0.93,0.78,ECR,NT,2017/2278(INI),INIT,INI,MAIN,IMCO,IMCO
50.55,27.84,IMCO,AM,2017/2278(INI),INIT,INI,MAIN,IMCO,IMCO
32.52,13.17,DG1-DEPOT,RR,2017/2278(INI),INIT,INI,MAIN,IMCO,IMCO
19.68,11.09,INTA,AM,2017/2278(INI),INIT,INI,AVI,INTA,INTA
8.3,4.88,ENVI,AD,2017/2278(INI),INIT,INI,AVI,ENVI,ENVI
10.57,9.29,IMCO,PR,2017/2278(INI),INIT,INI,MAIN,IMCO,IMCO
4.39,3.35,INTA,AD,2017/2278(INI),INIT,INI,AVI,INTA,INTA
1.88,1.7,INTA,PA,2017/2278(INI),INIT,INI,AVI,INTA,INTA
32.46,21.83,ECON,PR,2017/0090(COD),LEG,COD,MAIN,ECON,ECON
141.14,70.55,ECON,AM,2017/0090(COD),LEG,COD,MAIN,ECON,ECON
0.94,0.82,ECR,NR,2017/0090(COD),LEG,COD,MAIN,ECON,ECON
20.86,13.8,DG1-DEPOT,RR,2017/2056(INI),OUTDEC,INI,MAIN,AFET,AFET
117.47,64.11,AFET,AM,2017/2056(INI),OUTDEC,INI,MAIN,AFET,AFET
1.54,1.32,PPE,NT,2017/2056(INI),OUTDEC,INI,MAIN,AFET,AFET
4.7,2.98,INTA,AD,2017/2056(INI),OUTDEC,INI,AVI,INTA,INTA
4.55,3.48,INTA,PA,2017/2056(INI),OUTDEC,INI,AVI,INTA,INTA
7.79,7.05,AFET,PR,2017/2056(INI),OUTDEC,INI,MAIN,AFET,AFET
1.39,1.19,PPE,NT,2018/2004(INI),INIT,INI,MAIN,AFET,AFET
33.15,24.41,DG1-DEPOT,RR,2018/2004(INI),INIT,INI,MAIN,AFET,AFET
137.81,65.79,AFET,AM,2018/2004(INI),INIT,INI,MAIN,AFET,AFET
10.38,9.19,AFET,PR,2018/2004(INI),INIT,INI,MAIN,AFET,AFET
