"ID","DOC_TYPE","PROC_TYPE","DOSSIER_TYPE","GROSS_SPA","NET_SPA"
1278319,"AM","COD","ENVI",53.12,23.86
1272550,"PR","COD","ENVI",14.26,8.85
1278018,"AL","COD","BUDG",3.06,2.22
1270517,"AM","RSP","IMCO",0.6,0.24
1270539,"AM","RSP","IMCO",0.31,0.21
1270046,"RE","RSP","IMCO",14.9,14
1279882,"AM","COD","TRAN",13.92,6.77
1283105,"AD","COD","TRAN",16.86,5.05
1285086,"AM","COD","LIBE",124.42,51.43
1279636,"PA","COD","TRAN",6.66,2.29
1282221,"PR","COD","LIBE",19.24,12.27
1299457,"PF","COD","LIBE",78.79,50.3
1292464,"RR","COD","LIBE",80.73,30.48
1282220,"PR","COD","LIBE",33.56,13.84
1283095,"AD","COD","TRAN",20.91,6.56
1285085,"AM","COD","LIBE",113.62,41.75
1279629,"PA","COD","TRAN",9.02,2.9
1292332,"RR","COD","LIBE",71.07,23.46
1299464,"PF","COD","LIBE",78.31,45.16
1280568,"AM","COD","TRAN",14.22,7.74
1284073,"RR","INL","REGI",52.48,16.49
1269985,"PR","INL","REGI",47.43,39.92
1280224,"AM","INL","REGI",64.64,26.8
1281984,"RR","NLE","TRAN",3.89,1.7
1278394,"PR","NLE","TRAN",2.67,1.56
1279041,"PA","COD","LIBE",7.02,3.66
1279443,"AD","COD","REGI",11.21,3.99
1283110,"AD","COD","LIBE",14.01,4.27
1287736,"RR","COD","EMPL",59.33,20.13
1277369,"AM","COD","REGI",17.24,6.26
1279682,"AM","COD","EMPL",60.25,24.19
1302515,"AM","COD","EMPL",60.25,9
1280318,"AM","COD","LIBE",18.33,6.18
1276187,"PR","COD","EMPL",23.85,10.75
1274139,"RE","RSP","ENVI",18.49,36.62
1284285,"PR","COD","ENVI",12.65,6.86
1286627,"AM","COD","AGRI",141.32,71.13
1286674,"AM","COD","AGRI",115.96,58.6
1289031,"AD","COD","AGRI",35.25,13.46
1291952,"RR","COD","ENVI",31.45,12.75
1287245,"AM","COD","ENVI",118.58,61.24
1286950,"AM","COD","ENVI",148.94,76.82
1287075,"AM","COD","ENVI",35.7,15.4
1284484,"PA","COD","AGRI",6.08,3.84
1281835,"RR","COD","INTA",4.92,1.91
1278344,"PR","COD","INTA",3.58,1.96
1281845,"AL","BUD","EMPL",5.61,3.74
1281155,"AM","BUD","BUDG",3.66,1.87
1282270,"RR","BUD","BUDG",15.1,5.62
1291307,"AL","COD","JURI",4.02,3.7
1287182,"PR","COD","ECON",42.52,21.86
1288915,"AM","COD","ECON",168.42,75.74
1297752,"PF","COD","ECON",95.43,54.3
1292538,"RR","COD","ECON",85.71,30.66
1297335,"AM","COD","ECON",0.97,0.38
1296439,"PR","COD","ECON",4.71,1.69
1302171,"RR","COD","ECON",101.2,57.15
1295960,"AM","COD","ECON",126.33,46.04
1295976,"AM","COD","ECON",78.77,34.01
1292776,"PR","COD","ECON",106.76,55.7
1294009,"PR","COD","ECON",14.16,5.13
1295202,"AM","COD","ECON",85.21,31.52
1291880,"AM","COD","ECON",138.88,54.05
1291918,"AM","COD","ECON",100.53,45.41
1289558,"PR","COD","ECON",60.39,24.71
1297558,"RR","COD","ECON",221.58,64.11
1292628,"AM","COD","LIBE",125.3,68.67
1297162,"AD","COD","LIBE",75.34,25.04
1289093,"PA","COD","LIBE",21.47,14.75
