GROSS_SPA,NET_SPA,NET_SUBMITTED,REQUESTER_CODE,FDR_VERSION,DOC_DATE,PE_NO,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
2.36,2.02,2.02,EMPL,2,06-SEP-18,625.473,LT,2017/0336(COD),LEG,COD,AVI,EMPL,EMPL
1.57,0.85,0.87,FEMM,1,13-JUL-18,625.462,AM,2017/0336(COD),LEG,COD,AVI,FEMM,FEMM
3.35,1.28,1.33,BUDG,1,19-JUN-18,623.742,AD,2017/0336(COD),LEG,COD,AHE,BUDG,BUDG
3.94,2.13,2.13,REGI,4,26-JUN-18,623.856,PR,2017/0336(COD),LEG,COD,MHE,REGI,REGI
6.23,2.33,2.33,ITRE,1,21-JUN-18,623.817,AM,2017/0336(COD),LEG,COD,AVI,ITRE,ITRE
2.29,1.54,1.54,REGI,1,20-JUL-18,625.556,AM,2017/0336(COD),LEG,COD,MHE,REGI,REGI
8.82,3.44,3.44,ENVI,1,06-MAR-18,619.139,AM,2017/0336(COD),LEG,COD,AVI,ENVI,ENVI
3.14,1.19,1.19,CONT,1,04-SEP-18,626.991,AD,2017/0336(COD),LEG,COD,AVI,CONT,CONT
24.63,9.67,9.67,DG1-DEPOT,2,26-JUN-18,623.856,RR,2017/0336(COD),LEG,COD,MHE,REGI,REGI
2.66,1.02,1.02,CONT,1,01-OCT-18,628.477,AM,2017/0336(COD),LEG,COD,AVI,CONT,CONT
3.13,1.49,1.49,AGRI,1,06-JUL-18,625.361,AD,2017/0336(COD),LEG,COD,AVI,AGRI,AGRI
1.23,1.02,1.03,PPE,1,26-JUN-18,623.856,NT,2017/0336(COD),LEG,COD,MHE,REGI,REGI
51.87,16.83,16.83,DG1-DEPOT,1,06-JUN-18,619.038,RR,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
2.75,2.46,2.46,PPE,1,01-MAR-18,619.038,NT,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
19.5,7.9,7.9,ITRE,1,30-JAN-18,613.537,AD,2017/0228(COD),LEG,COD,AVI,ITRE,ITRE
109.06,49.99,49.99,IMCO,3,27-MAR-18,619.414,AM,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
16.17,9.25,9.26,ITRE,3,30-JAN-18,613.537,PA,2017/0228(COD),LEG,COD,AVI,ITRE,ITRE
29.61,18.09,18.07,IMCO,8,01-MAR-18,619.038,PR,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
32.47,16.31,16.31,ITRE,2,27-FEB-18,618.302,AM,2017/0228(COD),LEG,COD,AVI,ITRE,ITRE
4.09,3.45,3.64,JURI,4,12-DEC-17,615.357,NP,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
5.62,2.02,2.02,DG1-DEPOT,1,28-MAY-18,618.142,RR,2018/0802(CNS),LEG,CNS,MAIN,LIBE,LIBE
4.96,2.47,2.49,LIBE,1,02-MAY-18,621.983,AM,2018/0802(CNS),LEG,CNS,MAIN,LIBE,LIBE
4.5,2.95,2.95,LIBE,2,22-MAR-18,618.142,PR,2018/0802(CNS),LEG,CNS,MAIN,LIBE,LIBE
42.12,22.55,24.38,DG1-DEPOT,1,17-MAY-18,616.905,RR,2017/2271(INI),INIT,INI,MHE,AFET,AFET
91.44,44.31,44.31,AFET,4,11-JUN-18,623.686,AM,2017/2271(INI),INIT,INI,MHE,AFET,AFET
86.87,45.31,45.31,AFET,5,11-JUN-18,623.691,AM,2017/2271(INI),INIT,INI,MHE,AFET,AFET
2.08,1.78,1.87,INTA,1,18-APR-18,620.975,PA,2017/2271(INI),INIT,INI,AHE,INTA,INTA
8.95,7.51,8.72,AFET,4,02-MAY-18,616.905,PR,2017/2271(INI),INIT,INI,MHE,AFET,AFET
8.54,5.9,6.27,INTA,2,18-APR-18,620.975,AD,2017/2271(INI),INIT,INI,AHE,INTA,INTA
23.7,13.27,13.27,INTA,3,23-MAY-18,622.191,AM,2017/2271(INI),INIT,INI,AHE,INTA,INTA
1.73,1.43,1.5,CULT,1,04-APR-18,620.759,PA,2018/2005(INI),INIT,INI,AVI,CULT,CULT
22.46,14.31,14.31,CULT,7,03-MAY-18,620.969,AM,2018/2005(INI),INIT,INI,AVI,CULT,CULT
12.44,9.28,9.82,AGRI,4,26-MAR-18,619.357,AD,2018/2005(INI),INIT,INI,AVI,AGRI,AGRI
8.1,5.28,5.63,CULT,2,04-APR-18,620.759,AD,2018/2005(INI),INIT,INI,AVI,CULT,CULT
89.77,49.52,51.08,INTA,2,02-JUL-18,623.89,AM,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
6.12,4.53,4.8,INTA,2,29-MAY-18,622.206,PR,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
8.52,6.75,7.12,DEVE,1,10-APR-18,619.291,AD,2018/2005(INI),INIT,INI,AVI,DEVE,DEVE
4.34,2.73,2.91,JURI,1,30-MAY-18,622.118,AD,2018/2005(INI),INIT,INI,AVI,JURI,JURI
2.03,1.77,1.86,JURI,3,30-MAY-18,622.118,PA,2018/2005(INI),INIT,INI,AVI,JURI,JURI
1.4,0.96,1.02,DEVE,1,10-APR-18,619.291,PA,2018/2005(INI),INIT,INI,AVI,DEVE,DEVE
13.92,7.71,7.71,JURI,5,02-JUL-18,623.964,AM,2018/2005(INI),INIT,INI,AVI,JURI,JURI
46.62,28.48,28.48,AGRI,6,03-MAY-18,621.04,AM,2018/2005(INI),INIT,INI,AVI,AGRI,AGRI
26.01,14.64,14.64,DEVE,5,28-JUN-18,623.937,AM,2018/2005(INI),INIT,INI,AVI,DEVE,DEVE
